Endereco_detalhado,Lat,Lng
"Av. Assis Brasil  4935 , Porto Alegre, RS, Brasil",-30.0058553,-51.1383871
"Av. Assis Brasil 4945 , Porto Alegre, RS, Brasil",-30.0056695,-51.1384113
"Av. Assis Brasil  8207 , Porto Alegre, RS, Brasil",-29.9833429,-51.1163428
"Av. Assis Brasil  8292 , Porto Alegre, RS, Brasil",-29.9822784,-51.1164316
"Av. Bento Gonçalves  4021 , Porto Alegre, RS, Brasil",-30.062385,-51.17589
"Av. Bento Gonçalves  6963 , Porto Alegre, RS, Brasil",-30.0684566,-51.1466557
"Av. Bento Gonçalves  6992 , Porto Alegre, RS, Brasil",-30.0680752,-51.1458202
"Av. Bento Gonçalves  8083 , Porto Alegre, RS, Brasil",-30.0740627,-51.1370786
"Av. Bento Gonçalves 8083 , Porto Alegre, RS, Brasil",-30.0740627,-51.1370786
"Av. Bento Gonçalves  9519 , Porto Alegre, RS, Brasil",-30.0771776,-51.1228031
"Av. Bento Gonçalves 9535 , Porto Alegre, RS, Brasil",-30.077757,-51.1209459
"Av. Cavalhada  3696 , Porto Alegre, RS, Brasil",-30.1080811,-51.2269151
"Av. Cavalhada 4530 , Porto Alegre, RS, Brasil",-30.1154391,-51.2237329
"Av. Cavalhada 4414 , Porto Alegre, RS, Brasil",-30.1144788,-51.2257821
"Av. Dante Angelo Pilla  373 , Porto Alegre, RS, Brasil",-30.0115207,-51.1182872
"Av. Dr. Nilo Peçanha 350 , Porto Alegre, RS, Brasil",-30.0326103,-51.1844058
"Av. Dr. Nilo Peçanha  350 , Porto Alegre, RS, Brasil",-30.0326103,-51.1844058
"Av. Dr. Nilo Peçanha  2122 , Porto Alegre, RS, Brasil",-30.0278734,-51.1708017
"Av. Dr. Nilo Peçanha 2122 , Porto Alegre, RS, Brasil",-30.0278734,-51.1708017
"Av. Dr. Nilo Peçanha  2715 , Porto Alegre, RS, Brasil",-30.028289,-51.164916
"Av. Dr. Nilo Peçanha  2690 , Porto Alegre, RS, Brasil",-30.0278391,-51.1651965
"Av. Edgar Pires de Castro  9331 , Porto Alegre, RS, Brasil",-30.196935,-51.129473
"Av. Edgar Pires de Castro DF  9349 , Porto Alegre, RS, Brasil",-30.1563708,-51.1860892
"Av. Eduardo Prado  1370 , Porto Alegre, RS, Brasil",-30.130785,-51.218022
"Av. Eduardo Prado 1270 , Porto Alegre, RS, Brasil",-30.129737,-51.218368
"Av. Ipiranga 2860 , Porto Alegre, RS, Brasil",-30.0443851,-51.1987977
"Av. Ipiranga 8185 , Porto Alegre, RS, Brasil",-30.0578976,-51.1552224
"Av. Ipiranga 8185 , Porto Alegre, RS, Brasil",-30.0578976,-51.1552224
"Av. João de Oliveira Remião,  5989 , Porto Alegre, RS, Brasil",-30.119889,-51.1084678
"Av. João de Oliveira Remião,  5740 , Porto Alegre, RS, Brasil",-30.1169766,-51.1086247
"Av. Juca Batista 2918 , Porto Alegre, RS, Brasil",-30.1499271,-51.2017681
"Av. Juca Batista 3378 , Porto Alegre, RS, Brasil",-30.1538639,-51.1999166
"Av. Juca Batista 8455 , Porto Alegre, RS, Brasil",-30.190428,-51.175055
"Av. Juca Batista 8455 , Porto Alegre, RS, Brasil",-30.190428,-51.175055
"Av. Manoel Elias  768 , Porto Alegre, RS, Brasil",-30.0220525,-51.119658
"Av. Manoel Elias  1790 , Porto Alegre, RS, Brasil",-30.0312583,-51.1208428
"Av. Manoel Elias 1800 , Porto Alegre, RS, Brasil",-30.031425,-51.1208361
"Av. Nonoai  849 , Porto Alegre, RS, Brasil",-30.0907695,-51.2200404
"Av. Padre Cacique 1804 , Porto Alegre, RS, Brasil",-30.0766361,-51.2437996
"Av. Pres.Castelo Branco I/C  , Porto Alegre, RS, Brasil",-30.0088689,-51.2108242
"Av. Pres. Castelo Branco Km  C/I 1 , Porto Alegre, RS, Brasil",-30.0088689,-51.2108242
"Av. Protasio Alves 7777 , Porto Alegre, RS, Brasil",-30.0420737,-51.1330902
"Av. Protasio Alves  7777 , Porto Alegre, RS, Brasil",-30.0420737,-51.1330902
"Av. Protasio Alves 10564 , Porto Alegre, RS, Brasil",-30.0408282,-51.1072206
"Av. Protasio Alves 10835 , Porto Alegre, RS, Brasil",-30.041488,-51.105219
"Av. Senador Tarso Dutra N/S  , Porto Alegre, RS, Brasil",-30.0437408,-51.1757448
"Av. Wenceslau Escobar 1657 , Porto Alegre, RS, Brasil",-30.1034119,-51.2523221
"Rua Silva Só  280 , Porto Alegre, RS, Brasil",-30.0405263,-51.2038635
"Rua Silva Só  269 , Porto Alegre, RS, Brasil",-30.0403597,-51.2041814
"Edvaldo Pereira Paiva  , Porto Alegre, RS, Brasil",-30.0576378,-51.2335471
"Edvaldo Pereira Paiva  , Porto Alegre, RS, Brasil",-30.0576378,-51.2335471